transporte_id,tipo_transporte,capacidade,velocidade_media,lotacao_media,rota,data,n_passageiros,variacao_trafego,variacao_acidentes
79,Metrô,1500,61.41,0.94,Sé - Rua XV de Novembro,2024-02-14,1406,Baixo,0
80,Metrô,1500,64.48,0.84,Moema - Av. dos Eucaliptos,2024-03-03,1264,Baixo,0
81,BRT,200,43.57,0.67,Moema - Rua Jurucê,2024-10-19,134,Médio,2
82,Metrô,1500,64.85,0.43,Tatuapé - Rua Coelho Lisboa,2024-02-02,651,Baixo,0
83,Trem,1200,63.1,0.64,Itaim Bibi - Rua Joaquim Floriano,2024-07-03,767,Baixo,0
84,Ônibus,80,22.59,1.05,Lapa - Rua Guaicurus,2024-05-22,84,Baixo,0
85,Trem,1200,67.4,0.56,Santana - Rua Voluntários da Pátria,2024-07-13,666,Baixo,0
86,Trem,1200,54.95,0.76,Tatuapé - Rua Coelho Lisboa,2024-10-27,913,Alto,0
87,Ônibus,80,32.86,0.53,Santana - Rua Voluntários da Pátria,2024-02-27,42,Baixo,1
88,BRT,200,33.46,0.62,Itaim Bibi - Rua Joaquim Floriano,2024-01-12,123,Médio,0
89,Metrô,1500,60.9,0.56,Sé - Rua XV de Novembro,2024-07-14,836,Baixo,0
90,Metrô,1500,65.85,1.01,Sé - Rua Boa Vista,2024-04-25,1516,Médio,0
91,Metrô,1500,64.18,0.65,Sé - Rua XV de Novembro,2024-09-03,980,Alto,0
92,BRT,200,30.66,0.36,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-02-17,72,Médio,0
93,Metrô,1500,65.3,0.71,Vila Mariana - Rua Vergueiro,2024-06-21,1064,Alto,2
94,BRT,200,33.82,0.83,Lapa - Rua Guaicurus,2024-07-23,166,Médio,0
95,Ônibus,80,28.5,0.76,Lapa - Rua Doze de Outubro,2024-02-09,60,Alto,0
96,Ônibus,80,23.66,0.66,Moema - Av. Ibirapuera,2024-03-17,53,Médio,0
97,VLT,400,32.31,0.35,Moema - Av. Ibirapuera,2024-08-26,140,Baixo,0
98,Metrô,1500,68.6,0.76,Moema - Rua Jurucê,2024-04-19,1143,Médio,0
99,BRT,200,39.59,0.33,Sé - Rua Boa Vista,2024-01-28,65,Médio,0
100,VLT,400,23.18,0.76,Santana - Rua Dr. César,2024-04-25,302,Baixo,0
101,Metrô,1500,55.16,0.63,Lapa - Rua Guaicurus,2024-05-29,943,Baixo,1
102,BRT,200,36.63,0.68,Tatuapé - Rua Tuiuti,2024-01-27,136,Baixo,0
103,Trem,1200,49.24,0.9,Sé - Rua Direita,2024-07-18,1080,Baixo,0
104,Trem,1200,45.82,0.74,Vila Mariana - Rua Vergueiro,2024-03-03,888,Baixo,0
105,VLT,400,31.71,0.57,Itaim Bibi - Av. Juscelino Kubitschek,2024-07-02,228,Baixo,1
106,VLT,400,32.34,0.78,Sé - Rua XV de Novembro,2024-05-16,311,Baixo,0
107,BRT,200,37.74,0.96,Santana - Rua Voluntários da Pátria,2024-02-07,191,Médio,0
108,BRT,200,32.89,0.62,Pinheiros - Rua dos Pinheiros,2024-01-02,123,Baixo,0
109,Ônibus,80,18.6,0.6,Itaim Bibi - Rua Joaquim Floriano,2024-08-20,48,Baixo,2
110,BRT,200,28.85,0.4,Santana - Rua Voluntários da Pátria,2024-10-13,79,Médio,0
111,BRT,200,40.99,0.56,Santana - Rua Alfredo Pujol,2024-01-20,111,Baixo,0
112,Ônibus,80,22.92,0.48,Lapa - Rua Guaicurus,2024-03-10,38,Baixo,0
113,Trem,1200,50.33,0.55,Sé - Rua XV de Novembro,2024-07-25,659,Alto,0
114,Trem,1200,59.13,0.83,Pinheiros - Rua Teodoro Sampaio,2024-04-03,995,Baixo,2
115,Trem,1200,63.59,0.88,Lapa - Rua Guaicurus,2024-05-20,1057,Baixo,0
116,BRT,200,40.97,0.66,Vila Mariana - Rua Vergueiro,2024-02-06,132,Baixo,1
117,VLT,400,31.61,0.54,Lapa - Rua Pio XI,2024-09-17,216,Médio,0
118,Ônibus,80,24.83,0.67,Vila Mariana - Rua Vergueiro,2024-04-12,53,Alto,0
119,Trem,1200,60.13,0.49,Itaim Bibi - Av. Juscelino Kubitschek,2024-09-19,587,Médio,0
120,Metrô,1500,53.21,0.69,Itaim Bibi - Av. Juscelino Kubitschek,2024-01-18,1037,Médio,0
121,VLT,400,30.65,0.64,Itaim Bibi - Av. Juscelino Kubitschek,2024-02-11,254,Baixo,0
122,Trem,1200,49.59,0.8,Vila Mariana - Av. Lins de Vasconcelos,2024-01-13,956,Baixo,0
123,Ônibus,80,23.78,0.81,Lapa - Rua Doze de Outubro,2024-03-31,64,Baixo,0
124,BRT,200,37.77,0.56,Lapa - Rua Guaicurus,2024-02-14,111,Médio,0
125,Trem,1200,62.36,0.46,Itaim Bibi - Rua Joaquim Floriano,2024-07-24,547,Médio,0
126,Trem,1200,61.33,0.74,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-01-18,888,Baixo,5
127,Ônibus,80,24.91,1.11,Tatuapé - Rua Emília Marengo,2024-03-03,88,Médio,0
128,BRT,200,40.87,0.55,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-04-28,110,Baixo,0
129,VLT,400,25.62,0.54,Itaim Bibi - Av. Juscelino Kubitschek,2024-02-07,214,Baixo,0
130,Metrô,1500,72.35,0.53,Lapa - Rua Doze de Outubro,2024-08-04,789,Baixo,0
131,BRT,200,38.76,0.52,Vila Mariana - Rua Vergueiro,2024-09-22,103,Médio,1
132,BRT,200,30.75,0.62,Lapa - Rua Doze de Outubro,2024-10-21,123,Baixo,1
133,BRT,200,33.94,0.62,Itaim Bibi - Rua Joaquim Floriano,2024-07-31,123,Baixo,0
134,Ônibus,80,33.29,0.73,Pinheiros - Rua Teodoro Sampaio,2024-07-25,58,Baixo,0
135,BRT,200,38.86,0.58,Santana - Rua Alfredo Pujol,2024-01-27,116,Baixo,0
136,Ônibus,80,25.02,0.51,Itaim Bibi - Av. Juscelino Kubitschek,2024-07-12,41,Baixo,0
137,Trem,1200,48.69,0.6,Sé - Rua Direita,2024-09-11,722,Médio,0
138,Ônibus,80,31.61,0.84,Lapa - Rua Guaicurus,2024-04-17,66,Alto,1
139,VLT,400,22.69,0.51,Moema - Av. dos Eucaliptos,2024-09-08,204,Baixo,0
140,Metrô,1500,65.52,0.91,Vila Mariana - Rua Domingos de Morais,2024-04-21,1363,Médio,1
141,Metrô,1500,56.75,0.48,Tatuapé - Rua Tuiuti,2024-02-24,724,Baixo,0
142,BRT,200,40.26,0.7,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-02-29,140,Médio,1
143,Trem,1200,46.64,0.48,Sé - Rua Boa Vista,2024-01-29,570,Baixo,0
144,BRT,200,32.89,0.88,Lapa - Rua Pio XI,2024-08-24,176,Médio,0
145,Metrô,1500,62.98,0.69,Santana - Rua Dr. César,2024-03-01,1037,Médio,0
146,Metrô,1500,69.51,0.65,Santana - Rua Alfredo Pujol,2024-02-28,969,Baixo,0
147,VLT,400,26.6,0.31,Tatuapé - Rua Emília Marengo,2024-06-08,123,Baixo,2
148,VLT,400,32.34,0.69,Tatuapé - Rua Tuiuti,2024-05-06,276,Baixo,0
149,VLT,400,33.37,0.71,Pinheiros - Rua dos Pinheiros,2024-02-28,283,Baixo,1
150,VLT,400,29.42,0.44,Pinheiros - Rua dos Pinheiros,2024-07-23,174,Baixo,2
151,Ônibus,80,20.37,0.76,Sé - Rua Direita,2024-04-07,60,Baixo,0
152,BRT,200,41.56,0.85,Tatuapé - Rua Coelho Lisboa,2024-01-22,170,Baixo,0
153,Ônibus,80,21.1,0.79,Moema - Rua Jurucê,2024-05-04,63,Médio,0
154,Metrô,1500,67.23,0.74,Itaim Bibi - Rua Joaquim Floriano,2024-04-26,1109,Baixo,2
155,Trem,1200,48.86,0.79,Vila Mariana - Rua Domingos de Morais,2024-05-03,952,Baixo,0
156,Metrô,1500,74.53,0.81,Sé - Rua XV de Novembro,2024-07-02,1218,Baixo,0
157,Trem,1200,51.69,0.44,Tatuapé - Rua Emília Marengo,2024-10-06,531,Alto,1
158,Trem,1200,47.66,0.91,Santana - Rua Voluntários da Pátria,2024-10-14,1086,Médio,0
159,BRT,200,31.32,0.66,Lapa - Rua Pio XI,2024-04-23,131,Baixo,0
160,Trem,1200,49.03,0.72,Moema - Av. dos Eucaliptos,2024-07-26,860,Médio,0
161,Metrô,1500,66.8,0.38,Sé - Rua Direita,2024-03-16,570,Médio,0
162,Ônibus,80,27.55,0.98,Moema - Rua Jurucê,2024-03-16,78,Baixo,0
163,Ônibus,80,22.24,0.7,Sé - Rua XV de Novembro,2024-09-26,55,Baixo,0
164,Ônibus,80,29.77,0.78,Lapa - Rua Guaicurus,2024-02-27,62,Baixo,0
165,BRT,200,32.41,0.74,Itaim Bibi - Rua Joaquim Floriano,2024-08-13,147,Baixo,0
166,Ônibus,80,23.81,0.65,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-09-04,51,Médio,0
167,Metrô,1500,57.42,0.84,Santana - Rua Alfredo Pujol,2024-07-23,1267,Médio,3
168,Metrô,1500,61.96,0.56,Tatuapé - Rua Tuiuti,2024-04-09,832,Alto,0
169,Ônibus,80,27.26,0.45,Lapa - Rua Pio XI,2024-01-06,36,Médio,0
170,Metrô,1500,50.28,0.57,Lapa - Rua Guaicurus,2024-03-27,856,Alto,0
171,Trem,1200,61.27,0.54,Moema - Av. dos Eucaliptos,2024-07-11,646,Baixo,0
172,Trem,1200,66.53,0.3,Vila Mariana - Av. Lins de Vasconcelos,2024-02-23,365,Baixo,2
173,Ônibus,80,25.42,0.53,Sé - Rua Boa Vista,2024-06-11,42,Baixo,2
174,VLT,400,35.34,0.75,Pinheiros - Av. Brigadeiro Faria Lima,2024-04-13,299,Médio,1
175,Ônibus,80,19.48,0.6,Vila Mariana - Rua Domingos de Morais,2024-07-22,47,Médio,0
176,Metrô,1500,70.9,0.66,Tatuapé - Rua Tuiuti,2024-08-30,990,Baixo,1
177,Metrô,1500,61.29,0.92,Vila Mariana - Rua Vergueiro,2024-09-16,1383,Baixo,0
178,Ônibus,80,34.64,0.42,Lapa - Rua Guaicurus,2024-06-07,33,Baixo,0
179,BRT,200,29.63,0.87,Tatuapé - Rua Coelho Lisboa,2024-10-03,174,Baixo,1
180,Metrô,1500,56.94,0.64,Vila Mariana - Rua Vergueiro,2024-08-10,954,Baixo,1
181,BRT,200,31.69,0.84,Itaim Bibi - Av. Juscelino Kubitschek,2024-01-10,168,Baixo,0
182,Metrô,1500,59.19,0.6,Moema - Rua Jurucê,2024-09-26,904,Baixo,0
183,BRT,200,28.22,0.37,Pinheiros - Av. Brigadeiro Faria Lima,2024-10-24,74,Baixo,0
184,Trem,1200,65.41,0.77,Lapa - Rua Doze de Outubro,2024-01-23,925,Baixo,0
185,Metrô,1500,68.8,0.58,Sé - Rua XV de Novembro,2024-04-25,863,Baixo,2
186,Ônibus,80,26.53,0.38,Itaim Bibi - Av. Juscelino Kubitschek,2024-03-27,30,Baixo,0
187,BRT,200,28.27,0.86,Tatuapé - Rua Tuiuti,2024-08-04,172,Baixo,0
188,BRT,200,29.61,0.4,Moema - Av. dos Eucaliptos,2024-08-07,80,Baixo,0
189,Trem,1200,53.67,0.94,Vila Mariana - Rua Domingos de Morais,2024-04-17,1129,Alto,0
190,Trem,1200,66.49,0.49,Tatuapé - Rua Emília Marengo,2024-05-27,584,Alto,0
191,Metrô,1500,74.03,0.55,Sé - Rua Boa Vista,2024-07-12,821,Baixo,0
192,Trem,1200,49.86,0.55,Lapa - Rua Guaicurus,2024-08-12,660,Baixo,1
193,Trem,1200,49.3,0.6,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-10-04,716,Baixo,0
194,Ônibus,80,29.41,0.7,Moema - Av. dos Eucaliptos,2024-05-02,56,Baixo,1
195,VLT,400,24.26,0.79,Vila Mariana - Rua Domingos de Morais,2024-01-21,314,Médio,0
196,BRT,200,29.7,0.57,Pinheiros - Rua dos Pinheiros,2024-09-17,113,Baixo,0
197,Metrô,1500,56.62,0.66,Pinheiros - Rua dos Pinheiros,2024-03-01,987,Baixo,0
198,Metrô,1500,55.96,0.78,Santana - Rua Voluntários da Pátria,2024-08-10,1167,Alto,0
199,Trem,1200,59.34,1.13,Santana - Rua Alfredo Pujol,2024-01-19,1358,Baixo,0
200,Trem,1200,66.03,0.64,Sé - Rua Boa Vista,2024-06-25,770,Alto,1
201,VLT,400,27.09,0.75,Lapa - Rua Pio XI,2024-08-05,298,Médio,0
202,VLT,400,37.14,0.52,Sé - Rua XV de Novembro,2024-02-11,207,Baixo,0
203,Trem,1200,64.57,0.52,Lapa - Rua Guaicurus,2024-04-28,624,Médio,0
204,Metrô,1500,68.85,0.9,Pinheiros - Rua dos Pinheiros,2024-03-12,1354,Médio,0
205,BRT,200,35.83,0.2,Vila Mariana - Av. Lins de Vasconcelos,2024-01-27,40,Baixo,0
206,Metrô,1500,68.9,0.74,Lapa - Rua Pio XI,2024-05-27,1103,Baixo,1
207,Ônibus,80,34.59,0.65,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-03-24,52,Médio,0
208,Trem,1200,46.45,0.62,Pinheiros - Rua dos Pinheiros,2024-04-15,745,Alto,0
209,Trem,1200,63.02,0.65,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-06-06,775,Baixo,0
210,Ônibus,80,22.78,0.54,Lapa - Rua Guaicurus,2024-03-17,43,Baixo,4
211,Ônibus,80,18.8,0.56,Vila Mariana - Rua Vergueiro,2024-07-27,44,Baixo,0
212,VLT,400,27.43,0.51,Sé - Rua XV de Novembro,2024-06-30,202,Baixo,0
213,Ônibus,80,30.55,0.71,Sé - Rua XV de Novembro,2024-06-27,57,Baixo,0
214,Metrô,1500,66.81,0.84,Lapa - Rua Pio XI,2024-08-01,1257,Médio,0
215,Trem,1200,56.59,0.42,Sé - Rua XV de Novembro,2024-07-02,509,Médio,1
216,VLT,400,28.14,0.82,Santana - Rua Voluntários da Pátria,2024-04-02,326,Médio,1
217,Metrô,1500,69.56,0.49,Lapa - Rua Guaicurus,2024-10-13,741,Baixo,2
218,BRT,200,35.76,0.35,Lapa - Rua Guaicurus,2024-04-27,69,Baixo,0
219,Ônibus,80,25.35,0.77,Tatuapé - Rua Tuiuti,2024-06-14,61,Baixo,0
220,VLT,400,32.87,0.83,Tatuapé - Rua Emília Marengo,2024-05-09,331,Baixo,0
221,Ônibus,80,19.77,0.74,Moema - Av. dos Eucaliptos,2024-09-10,59,Baixo,0
222,Ônibus,80,20.98,0.77,Tatuapé - Rua Emília Marengo,2024-01-16,61,Médio,0
223,BRT,200,38.83,0.83,Santana - Rua Alfredo Pujol,2024-10-09,166,Médio,0
224,VLT,400,29.15,0.56,Vila Mariana - Av. Lins de Vasconcelos,2024-07-06,223,Baixo,2
225,BRT,200,35.66,0.62,Vila Mariana - Av. Lins de Vasconcelos,2024-07-19,123,Baixo,0
226,Trem,1200,46.24,0.71,Lapa - Rua Doze de Outubro,2024-07-06,852,Baixo,0
227,BRT,200,31.13,0.2,Lapa - Rua Pio XI,2024-06-25,40,Baixo,0
228,VLT,400,37.12,0.67,Moema - Av. dos Eucaliptos,2024-06-05,269,Baixo,0
229,VLT,400,32.68,0.57,Santana - Rua Alfredo Pujol,2024-04-24,228,Médio,0
230,BRT,200,43.34,0.6,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-03-08,119,Baixo,0
231,BRT,200,30.88,0.37,Lapa - Rua Guaicurus,2024-09-23,74,Baixo,1
232,BRT,200,35.9,0.37,Moema - Av. Ibirapuera,2024-07-30,73,Baixo,0
233,Trem,1200,51.07,0.88,Pinheiros - Rua Teodoro Sampaio,2024-04-03,1056,Baixo,0
234,Ônibus,80,26.42,0.9,Lapa - Rua Pio XI,2024-04-04,72,Baixo,2
235,Metrô,1500,68.77,0.82,Sé - Rua Boa Vista,2024-07-08,1224,Baixo,0
236,BRT,200,37.97,0.61,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-02-19,121,Médio,0
237,Metrô,1500,60.72,0.56,Moema - Rua Jurucê,2024-03-02,845,Alto,0
238,Metrô,1500,50.04,0.75,Vila Mariana - Rua Domingos de Morais,2024-10-21,1125,Médio,2
239,Metrô,1500,63.72,0.6,Moema - Rua Jurucê,2024-06-13,896,Baixo,0
240,Ônibus,80,28.97,1.0,Tatuapé - Rua Emília Marengo,2024-01-29,79,Médio,0
241,VLT,400,32.67,0.87,Santana - Rua Alfredo Pujol,2024-07-09,346,Baixo,0
242,Metrô,1500,66.06,0.52,Moema - Av. Ibirapuera,2024-06-24,786,Baixo,0
243,Trem,1200,69.04,0.76,Lapa - Rua Doze de Outubro,2024-09-15,906,Baixo,0
244,Metrô,1500,73.01,0.36,Moema - Av. Ibirapuera,2024-08-26,546,Médio,0
245,BRT,200,43.32,0.58,Vila Mariana - Rua Domingos de Morais,2024-10-15,115,Alto,0
246,VLT,400,37.12,0.58,Moema - Av. Ibirapuera,2024-10-27,230,Baixo,2
247,VLT,400,22.25,0.46,Sé - Rua Boa Vista,2024-02-13,184,Alto,0
248,BRT,200,42.47,0.5,Lapa - Rua Doze de Outubro,2024-07-10,100,Baixo,1
249,Ônibus,80,32.05,0.37,Vila Mariana - Rua Vergueiro,2024-07-23,29,Alto,0
250,BRT,200,44.42,0.63,Itaim Bibi - Av. Juscelino Kubitschek,2024-02-11,126,Baixo,1
251,BRT,200,36.3,0.38,Sé - Rua XV de Novembro,2024-01-30,75,Baixo,0
252,Trem,1200,65.76,0.68,Moema - Av. dos Eucaliptos,2024-10-05,812,Baixo,0
253,Trem,1200,51.0,0.76,Itaim Bibi - Av. Brigadeiro Luís Antônio,2024-02-05,912,Médio,0
254,Trem,1200,61.87,0.7,Moema - Rua Jurucê,2024-05-18,845,Baixo,0
255,Metrô,1500,58.84,0.39,Lapa - Rua Guaicurus,2024-03-12,583,Baixo,0
256,Trem,1200,56.72,0.73,Moema - Av. Ibirapuera,2024-08-27,880,Alto,0
257,Ônibus,80,19.0,0.69,Vila Mariana - Rua Domingos de Morais,2024-01-06,55,Médio,2
258,BRT,200,31.43,0.87,Vila Mariana - Rua Domingos de Morais,2024-07-27,174,Alto,0
259,Ônibus,80,18.36,0.42,Lapa - Rua Doze de Outubro,2024-06-08,33,Baixo,1
260,Ônibus,80,25.19,0.63,Moema - Rua Jurucê,2024-07-20,50,Baixo,2
261,Trem,1200,50.16,0.62,Itaim Bibi - Rua Joaquim Floriano,2024-04-23,743,Médio,0
262,Trem,1200,69.44,0.69,Lapa - Rua Pio XI,2024-01-27,823,Baixo,0
263,Trem,1200,51.12,0.72,Lapa - Rua Guaicurus,2024-01-09,863,Baixo,1
264,Trem,1200,57.18,0.2,Lapa - Rua Doze de Outubro,2024-10-13,240,Baixo,2
265,VLT,400,25.84,0.46,Sé - Rua Direita,2024-02-12,183,Baixo,0
266,VLT,400,36.17,0.82,Pinheiros - Rua Teodoro Sampaio,2024-08-23,329,Alto,0
267,VLT,400,23.06,0.93,Santana - Rua Dr. César,2024-05-19,371,Médio,0
268,Metrô,1500,70.84,0.83,Vila Mariana - Av. Lins de Vasconcelos,2024-10-09,1244,Médio,0
269,VLT,400,28.81,0.84,Vila Mariana - Rua Domingos de Morais,2024-06-12,334,Médio,0
270,VLT,400,35.19,0.54,Pinheiros - Rua Teodoro Sampaio,2024-05-12,214,Alto,2
271,VLT,400,31.54,0.62,Tatuapé - Rua Coelho Lisboa,2024-09-25,248,Baixo,1
272,BRT,200,39.53,0.58,Lapa - Rua Doze de Outubro,2024-01-20,115,Baixo,0
273,Metrô,1500,58.5,0.46,Tatuapé - Rua Coelho Lisboa,2024-07-11,686,Médio,0
