acidente_id,data,hora,tipo_acidente,gravidade,numero_feridos,numero_mortos,via,bairro,categoria_clima,temperatura,humidade,vento
79,2024-02-14,23:39,Colisão,Leve,0,0,Rua XV de Novembro,Sé,Nublado,22.43,71.8,7.59
80,2024-03-03,22:58,Engavetamento,Fatal,0,0,Av. dos Eucaliptos,Moema,Neblina,16.52,97.39,2.64
81,2024-10-19,18:25,Engavetamento,Média,2,0,Rua Jurucê,Moema,Céu limpo,26.13,37.4,9.9
82,2024-02-02,23:15,Choque traseiro,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Nublado,23.3,55.54,7.91
83,2024-07-03,23:50,Choque traseiro,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Chuva,23.94,88.61,13.92
84,2024-05-22,13:20,Engavetamento,Leve,0,0,Rua Guaicurus,Lapa,Céu limpo,24.56,36.98,3.51
85,2024-07-13,22:17,Choque traseiro,Leve,0,0,Rua Voluntários da Pátria,Santana,Nublado,20.61,70.56,6.68
86,2024-10-27,16:59,Capotamento,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Nublado,23.4,58.03,8.84
87,2024-02-27,00:12,Atropelamento,Média,1,0,Rua Voluntários da Pátria,Santana,Chuva,21.85,74.81,11.76
88,2024-01-12,06:46,Engavetamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Chuva,23.67,87.99,9.51
89,2024-07-14,22:28,Colisão,Leve,0,0,Rua XV de Novembro,Sé,Nublado,21.62,71.76,6.36
90,2024-04-25,20:42,Choque traseiro,Leve,0,0,Rua Boa Vista,Sé,Nublado,22.77,69.01,11.91
91,2024-09-03,07:09,Capotamento,Leve,0,0,Rua XV de Novembro,Sé,Céu limpo,24.29,30.35,4.21
92,2024-02-17,06:22,Capotamento,Média,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Chuva,25.53,70.03,7.43
93,2024-06-21,12:58,Engavetamento,Grave,2,0,Rua Vergueiro,Vila Mariana,Céu limpo,32.86,36.96,7.33
94,2024-07-23,06:17,Choque traseiro,Leve,0,0,Rua Guaicurus,Lapa,Nublado,20.68,73.87,9.46
95,2024-02-09,11:44,Atropelamento,Leve,0,0,Rua Doze de Outubro,Lapa,Céu limpo,33.88,32.49,2.83
96,2024-03-17,12:06,Colisão,Leve,0,0,Av. Ibirapuera,Moema,Nublado,27.27,50.08,4.65
97,2024-08-26,02:06,Colisão,Leve,0,0,Av. Ibirapuera,Moema,Nublado,20.84,52.33,10.81
98,2024-04-19,06:52,Choque traseiro,Leve,0,0,Rua Jurucê,Moema,Céu limpo,29.61,44.48,4.69
99,2024-01-28,09:37,Engavetamento,Leve,0,0,Rua Boa Vista,Sé,Nublado,26.19,50.35,9.87
100,2024-04-25,21:11,Colisão,Leve,0,0,Rua Dr. César,Santana,Neblina,19.16,96.91,0.72
101,2024-05-29,20:22,Choque traseiro,Média,1,0,Rua Guaicurus,Lapa,Nublado,24.25,67.1,7.4
102,2024-01-27,04:24,Engavetamento,Leve,0,0,Rua Tuiuti,Tatuapé,Neblina,21.33,87.38,4.58
103,2024-07-18,03:07,Engavetamento,Leve,0,0,Rua Direita,Sé,Chuva,25.41,78.96,8.69
104,2024-03-03,04:49,Choque traseiro,Leve,0,0,Rua Vergueiro,Vila Mariana,Nublado,21.57,50.16,9.81
105,2024-07-02,13:42,Colisão,Média,1,0,Av. Juscelino Kubitschek,Itaim Bibi,Chuva,18.67,88.39,11.7
106,2024-05-16,23:49,Colisão,Leve,0,0,Rua XV de Novembro,Sé,Neblina,17.13,96.06,2.04
107,2024-02-07,14:31,Choque traseiro,Leve,0,0,Rua Voluntários da Pátria,Santana,Chuva,21.31,92.29,19.73
108,2024-01-02,21:37,Atropelamento,Média,0,0,Rua dos Pinheiros,Pinheiros,Chuva,24.54,73.97,6.33
109,2024-08-20,23:42,Engavetamento,Grave,2,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,20.42,60.25,6.12
110,2024-10-13,17:07,Colisão,Leve,0,0,Rua Voluntários da Pátria,Santana,Nublado,26.45,53.97,4.05
111,2024-01-20,18:00,Colisão,Leve,0,0,Rua Alfredo Pujol,Santana,Chuva,18.96,84.68,7.48
112,2024-03-10,02:59,Atropelamento,Leve,0,0,Rua Guaicurus,Lapa,Nublado,22.52,64.24,9.57
113,2024-07-25,20:19,Atropelamento,Grave,0,0,Rua XV de Novembro,Sé,Nublado,25.6,74.07,9.16
114,2024-04-03,23:38,Colisão,Média,2,0,Rua Teodoro Sampaio,Pinheiros,Neblina,21.46,86.73,1.45
115,2024-05-20,18:43,Capotamento,Leve,0,0,Rua Guaicurus,Lapa,Céu limpo,29.82,31.0,3.51
116,2024-02-06,03:58,Choque traseiro,Média,1,0,Rua Vergueiro,Vila Mariana,Nublado,22.63,64.96,9.38
117,2024-09-17,12:22,Engavetamento,Leve,0,0,Rua Pio XI,Lapa,Céu limpo,28.11,45.48,2.14
118,2024-04-12,11:36,Capotamento,Fatal,0,0,Rua Vergueiro,Vila Mariana,Chuva,18.65,80.27,17.02
119,2024-09-19,09:10,Colisão,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Nublado,23.22,67.96,9.04
120,2024-01-18,18:24,Colisão,Média,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Chuva,18.11,85.95,17.47
121,2024-02-11,03:57,Capotamento,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Nublado,20.59,54.48,10.4
122,2024-01-13,02:01,Choque traseiro,Média,0,0,Av. Lins de Vasconcelos,Vila Mariana,Nublado,23.12,55.05,6.07
123,2024-03-31,01:32,Choque traseiro,Leve,0,0,Rua Doze de Outubro,Lapa,Nublado,24.82,72.59,9.32
124,2024-02-14,06:44,Choque traseiro,Leve,0,0,Rua Guaicurus,Lapa,Chuva,24.28,83.54,18.25
125,2024-07-24,20:39,Colisão,Média,0,0,Rua Joaquim Floriano,Itaim Bibi,Nublado,24.94,58.51,6.43
126,2024-01-18,13:15,Engavetamento,Média,5,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Chuva,20.59,88.3,15.87
127,2024-03-03,08:13,Choque traseiro,Leve,0,0,Rua Emília Marengo,Tatuapé,Chuva,20.52,76.17,6.57
128,2024-04-28,19:26,Colisão,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Neblina,20.45,80.92,6.82
129,2024-02-07,10:29,Atropelamento,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Chuva,18.91,76.31,8.66
130,2024-08-04,04:41,Engavetamento,Média,0,0,Rua Doze de Outubro,Lapa,Nublado,21.9,50.36,11.27
131,2024-09-22,19:57,Capotamento,Média,1,0,Rua Vergueiro,Vila Mariana,Chuva,22.11,82.93,11.28
132,2024-10-21,07:07,Choque traseiro,Fatal,1,0,Rua Doze de Outubro,Lapa,Céu limpo,28.49,36.17,7.39
133,2024-07-31,14:41,Engavetamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Céu limpo,24.9,44.71,6.31
134,2024-07-25,03:45,Colisão,Leve,0,0,Rua Teodoro Sampaio,Pinheiros,Chuva,18.93,88.0,9.38
135,2024-01-27,23:09,Atropelamento,Leve,0,0,Rua Alfredo Pujol,Santana,Nublado,21.74,70.05,5.4
136,2024-07-12,04:23,Capotamento,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Nublado,24.63,60.19,11.63
137,2024-09-11,05:17,Capotamento,Leve,0,0,Rua Direita,Sé,Neblina,18.72,91.71,1.34
138,2024-04-17,08:42,Colisão,Média,1,0,Rua Guaicurus,Lapa,Neblina,18.17,94.18,5.16
139,2024-09-08,04:18,Colisão,Leve,0,0,Av. dos Eucaliptos,Moema,Nublado,27.5,58.2,8.93
140,2024-04-21,06:01,Colisão,Média,1,0,Rua Domingos de Morais,Vila Mariana,Nublado,21.13,67.66,5.86
141,2024-02-24,02:46,Colisão,Leve,0,0,Rua Tuiuti,Tatuapé,Chuva,25.69,78.47,11.33
142,2024-02-29,20:43,Atropelamento,Média,1,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Nublado,23.18,55.7,9.35
143,2024-01-29,12:37,Engavetamento,Média,0,0,Rua Boa Vista,Sé,Chuva,19.87,77.85,13.13
144,2024-08-24,07:12,Atropelamento,Leve,0,0,Rua Pio XI,Lapa,Chuva,22.77,92.02,7.51
145,2024-03-01,18:25,Choque traseiro,Leve,0,0,Rua Dr. César,Santana,Céu limpo,31.28,30.34,5.41
146,2024-02-28,13:46,Atropelamento,Leve,0,0,Rua Alfredo Pujol,Santana,Céu limpo,32.43,53.88,3.35
147,2024-06-08,03:23,Engavetamento,Média,2,0,Rua Emília Marengo,Tatuapé,Nublado,21.13,70.12,7.34
148,2024-05-06,10:10,Choque traseiro,Leve,0,0,Rua Tuiuti,Tatuapé,Céu limpo,25.52,32.06,2.77
149,2024-02-28,23:12,Capotamento,Grave,1,0,Rua dos Pinheiros,Pinheiros,Chuva,21.81,90.2,14.34
150,2024-07-23,22:21,Choque traseiro,Média,2,0,Rua dos Pinheiros,Pinheiros,Chuva,20.81,83.91,7.99
151,2024-04-07,04:08,Choque traseiro,Leve,0,0,Rua Direita,Sé,Nublado,24.13,53.31,8.08
152,2024-01-22,06:20,Atropelamento,Leve,0,0,Rua Coelho Lisboa,Tatuapé,Chuva,20.96,86.95,5.4
153,2024-05-04,05:32,Engavetamento,Leve,0,0,Rua Jurucê,Moema,Nublado,23.66,62.51,5.85
154,2024-04-26,03:06,Atropelamento,Média,2,0,Rua Joaquim Floriano,Itaim Bibi,Neblina,17.16,92.81,5.84
155,2024-05-03,04:56,Colisão,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Neblina,20.04,95.14,2.91
156,2024-07-02,01:07,Atropelamento,Leve,0,0,Rua XV de Novembro,Sé,Neblina,16.86,82.38,1.69
157,2024-10-06,19:48,Colisão,Grave,1,0,Rua Emília Marengo,Tatuapé,Nublado,27.26,50.74,6.12
158,2024-10-14,06:35,Colisão,Leve,0,0,Rua Voluntários da Pátria,Santana,Nublado,26.74,56.43,2.83
159,2024-04-23,20:41,Capotamento,Leve,0,0,Rua Pio XI,Lapa,Nublado,21.95,58.62,5.15
160,2024-07-26,09:00,Capotamento,Leve,0,0,Av. dos Eucaliptos,Moema,Chuva,25.3,89.8,18.99
161,2024-03-16,12:25,Choque traseiro,Leve,0,0,Rua Direita,Sé,Céu limpo,33.09,39.57,5.67
162,2024-03-16,17:29,Atropelamento,Leve,0,0,Rua Jurucê,Moema,Nublado,24.37,69.8,6.61
163,2024-09-26,21:28,Atropelamento,Leve,0,0,Rua XV de Novembro,Sé,Nublado,23.34,52.63,3.53
164,2024-02-27,21:26,Capotamento,Leve,0,0,Rua Guaicurus,Lapa,Chuva,22.48,73.36,8.14
165,2024-08-13,02:41,Capotamento,Leve,0,0,Rua Joaquim Floriano,Itaim Bibi,Neblina,19.42,85.4,2.56
166,2024-09-04,12:19,Engavetamento,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Céu limpo,28.07,47.65,3.55
167,2024-07-23,17:19,Capotamento,Fatal,3,1,Rua Alfredo Pujol,Santana,Chuva,25.03,81.02,8.42
168,2024-04-09,05:48,Choque traseiro,Leve,0,0,Rua Tuiuti,Tatuapé,Neblina,19.72,88.86,1.13
169,2024-01-06,16:57,Capotamento,Leve,0,0,Rua Pio XI,Lapa,Chuva,20.65,71.62,5.63
170,2024-03-27,13:15,Engavetamento,Leve,0,0,Rua Guaicurus,Lapa,Nublado,26.01,66.59,10.79
171,2024-07-11,23:32,Choque traseiro,Leve,0,0,Av. dos Eucaliptos,Moema,Nublado,25.6,55.17,5.37
172,2024-02-23,08:18,Capotamento,Média,2,0,Av. Lins de Vasconcelos,Vila Mariana,Céu limpo,31.4,39.9,7.0
173,2024-06-11,12:06,Engavetamento,Média,2,0,Rua Boa Vista,Sé,Nublado,22.38,56.1,4.64
174,2024-04-13,15:00,Atropelamento,Grave,1,0,Av. Brigadeiro Faria Lima,Pinheiros,Nublado,26.49,62.9,8.02
175,2024-07-22,13:41,Atropelamento,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Nublado,27.64,65.71,11.35
176,2024-08-30,04:15,Engavetamento,Média,1,0,Rua Tuiuti,Tatuapé,Neblina,17.52,87.43,2.75
177,2024-09-16,12:14,Capotamento,Leve,0,0,Rua Vergueiro,Vila Mariana,Nublado,25.47,73.36,4.64
178,2024-06-07,21:40,Atropelamento,Leve,0,0,Rua Guaicurus,Lapa,Nublado,22.48,64.53,7.13
179,2024-10-03,19:17,Capotamento,Grave,1,0,Rua Coelho Lisboa,Tatuapé,Neblina,21.69,93.64,4.16
180,2024-08-10,03:33,Colisão,Média,1,0,Rua Vergueiro,Vila Mariana,Neblina,17.18,93.69,4.25
181,2024-01-10,03:35,Choque traseiro,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Nublado,22.17,57.7,9.15
182,2024-09-26,03:17,Atropelamento,Média,0,0,Rua Jurucê,Moema,Nublado,22.59,52.52,2.65
183,2024-10-24,09:58,Engavetamento,Média,0,0,Av. Brigadeiro Faria Lima,Pinheiros,Nublado,27.71,59.15,10.72
184,2024-01-23,16:07,Choque traseiro,Leve,0,0,Rua Doze de Outubro,Lapa,Céu limpo,28.22,36.94,2.8
185,2024-04-25,20:08,Capotamento,Média,2,0,Rua XV de Novembro,Sé,Nublado,25.58,56.23,6.74
186,2024-03-27,15:27,Engavetamento,Leve,0,0,Av. Juscelino Kubitschek,Itaim Bibi,Céu limpo,32.16,49.18,2.9
187,2024-08-04,00:40,Choque traseiro,Leve,0,0,Rua Tuiuti,Tatuapé,Nublado,23.51,68.81,5.04
188,2024-08-07,04:48,Engavetamento,Leve,0,0,Av. dos Eucaliptos,Moema,Neblina,16.09,86.22,1.87
189,2024-04-17,09:57,Atropelamento,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Chuva,23.67,77.39,5.47
190,2024-05-27,05:27,Engavetamento,Leve,0,0,Rua Emília Marengo,Tatuapé,Nublado,24.38,55.45,10.15
191,2024-07-12,00:14,Atropelamento,Leve,0,0,Rua Boa Vista,Sé,Chuva,21.69,82.12,10.05
192,2024-08-12,09:46,Colisão,Média,1,0,Rua Guaicurus,Lapa,Céu limpo,31.87,47.37,2.87
193,2024-10-04,01:47,Capotamento,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Chuva,22.54,78.62,17.43
194,2024-05-02,23:56,Capotamento,Média,1,0,Av. dos Eucaliptos,Moema,Nublado,23.38,65.51,9.41
195,2024-01-21,08:52,Engavetamento,Leve,0,0,Rua Domingos de Morais,Vila Mariana,Chuva,20.72,73.55,11.95
196,2024-09-17,04:51,Choque traseiro,Leve,0,0,Rua dos Pinheiros,Pinheiros,Nublado,21.93,51.93,3.31
197,2024-03-01,22:24,Capotamento,Leve,0,0,Rua dos Pinheiros,Pinheiros,Neblina,16.78,87.26,2.89
198,2024-08-10,11:33,Colisão,Leve,0,0,Rua Voluntários da Pátria,Santana,Nublado,26.61,68.85,5.97
199,2024-01-19,11:38,Engavetamento,Leve,0,0,Rua Alfredo Pujol,Santana,Chuva,25.18,86.68,19.49
200,2024-06-25,06:50,Engavetamento,Média,1,0,Rua Boa Vista,Sé,Nublado,23.3,52.73,4.85
201,2024-08-05,07:07,Choque traseiro,Leve,0,0,Rua Pio XI,Lapa,Nublado,25.46,70.33,11.62
202,2024-02-11,04:52,Colisão,Leve,0,0,Rua XV de Novembro,Sé,Nublado,24.74,58.27,2.89
203,2024-04-28,16:16,Atropelamento,Leve,0,0,Rua Guaicurus,Lapa,Céu limpo,31.9,32.92,7.98
204,2024-03-12,19:52,Atropelamento,Leve,0,0,Rua dos Pinheiros,Pinheiros,Neblina,16.87,92.58,5.92
205,2024-01-27,04:31,Atropelamento,Leve,0,0,Av. Lins de Vasconcelos,Vila Mariana,Neblina,18.82,88.98,2.78
206,2024-05-27,19:41,Engavetamento,Média,1,0,Rua Pio XI,Lapa,Chuva,23.84,80.93,8.98
207,2024-03-24,13:15,Colisão,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Chuva,22.6,76.37,15.92
208,2024-04-15,18:42,Engavetamento,Leve,0,0,Rua dos Pinheiros,Pinheiros,Céu limpo,28.67,40.81,2.59
209,2024-06-06,22:15,Choque traseiro,Leve,0,0,Av. Brigadeiro Luís Antônio,Itaim Bibi,Nublado,26.88,65.78,9.53
210,2024-03-17,20:35,Engavetamento,Média,4,0,Rua Guaicurus,Lapa,Nublado,26.24,50.49,10.06
211,2024-07-27,18:59,Choque traseiro,Leve,0,0,Rua Vergueiro,Vila Mariana,Neblina,21.55,94.26,3.32
212,2024-06-30,18:13,Colisão,Fatal,0,1,Rua XV de Novembro,Sé,Neblina,19.59,89.14,0.63
213,2024-06-27,12:56,Engavetamento,Leve,0,0,Rua XV de Novembro,Sé,Céu limpo,32.47,36.89,1.3
214,2024-08-01,17:23,Engavetamento,Média,0,0,Rua Pio XI,Lapa,Céu limpo,33.89,35.43,1.56
215,2024-07-02,16:05,Choque traseiro,Fatal,1,1,Rua XV de Novembro,Sé,Nublado,22.95,59.75,2.15
216,2024-04-02,20:46,Capotamento,Grave,1,0,Rua Voluntários da Pátria,Santana,Chuva,24.94,70.66,7.91
217,2024-10-13,01:52,Engavetamento,Fatal,2,1,Rua Guaicurus,Lapa,Neblina,17.43,89.35,2.51
218,2024-04-27,04:36,Choque traseiro,Leve,0,0,Rua Guaicurus,Lapa,Nublado,22.17,55.44,4.45
219,2024-06-14,07:29,Engavetamento,Leve,0,0,Rua Tuiuti,Tatuapé,Chuva,19.99,83.35,19.07
220,2024-05-09,12:32,Capotamento,Leve,0,0,Rua Emília Marengo,Tatuapé,Céu limpo,29.67,53.43,1.99
